id,description
152,"Okladki do bindowania foliowe A4 , przezroczysta folia do oprawy dokumentów, format A4,150 mic,op.100 szt,"
153,"Okladki do bindowania foliowe A4 , kolorowa folia do oprawy dokumentów, format A4, grubosc folii 200mic, op. 100 szt. wyprodukowano dla firmy Argo"
154,"Okladki do bindowania kartonowe A4, kartonowe, z jednostronnie kolorowego, blyszczacego kartonu, sztywny karton laminowany folia, grubosc 250 g/m², format A4, op. 100 arkusz,"
155,"Okladki do bindowania skóropodobne A4, kartonowe, o fakturze skóropodobnej, sztywny karton , format A4, op. 100 arkuszy,"
156,"Olej do niszczarek, pojemnosc opakowania 350ml"
157,"Olówek automatyczny, na grafit 0,5 mm, z teleskopowym mechanizmem wysuwania grafitu"
158,"Olówek drewniany, odporny na zlamania, latwy do wycierania i temperowania, rózne twardosci, z gumka"
159,"Pamiec USB 16 GB, zlacze USB jest wysuwane, obudowa: plastikowo-aluminiowa, ma posiadac opakowanie. Okres gwarancji minimum 24 miesiace"
160,"Pamiec USB 8 GB, zlacze USB jest wysuwane, obudowa plastikowo-aluminiowa, ma posiadac opakowanie. Okres gwarancji minimum 24 miesiace."
161,"Papier do faksu w rolce, o wymiarach 210mm x 30mb"
162,"Papier fotograficzny do drukarki laserowej, matowy, bialy, format A4, gramatura 200g/m2, op. 100 szt."
163,"Papier fotograficzny do drukarki atramentowej, satynowo-matowy, bialy, format A4, gramatura 240g/m2, op. 50 szt."
164,"Papier fotograficzny do drukarki atramentowej, blyszczacy, bialy, format A4, gramatura 180g/m2, op. 50 szt."
